url
resource_type
title
handle
keep_change_decision
target_url
seo_notes
status
"/collections/bundle-save","collection","Bundle & Save Period Underwear Combos","bundle-save","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/the-active-all-rounder-bundle","collection","The Active All-Rounder Bundle","the-active-all-rounder-bundle","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/wholesale","collection","Wholesale","wholesale","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/the-pool-perfect-combo","collection","The Pool Perfect Combo","the-pool-perfect-combo","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/meta-set","collection","Meta Set","meta-set","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/the-encore-bundle","collection","The Encore Bundle","the-encore-bundle","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/us-shop-all","collection","US SHOP ALL","us-shop-all","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/the-ready-for-anything-pack-swim-edition","collection","The Ready-for-Anything Pack (Swim Edition)","the-ready-for-anything-pack-swim-edition","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/us-taxable-product","collection","US TAXABLE PRODUCT","us-taxable-product","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/us-tax-exempt-products","collection","US TAX EXEMPT PRODUCTS","us-tax-exempt-products","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/re-route","collection","RE-ROUTE","re-route","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/google-feed","collection","Google Set","google-feed","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/for-shopify-performance-tracking","collection","New! Shopify performance sharing is now turned on","for-shopify-performance-tracking","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/promo-set","collection","PROMO SET","promo-set","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/the-starting-line-up","collection","The Starting Line-Up","the-starting-line-up","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/collections/period-swim-underwear","collection","Period Swimwear","period-swim-underwear","KEEP - pending SEO comparison","","Existing collection URL; preserve by default","ACTIVE"
"/pages/size-chart","page","Size Chart & Measuring Tips","size-chart","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/contact-us","page","Contact Us","contact-us","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/shipping-returns-faqs","page","Delivery & Returns","shipping-returns-faqs","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/privacy-policy","page","Privacy Policy","privacy-policy","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/terms-conditions","page","Terms & Conditions","terms-conditions","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/family-movement-sessions","page","Family Movement Sessions","family-movement-sessions","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/shop-insta","page","SHOP INSTA","shop-insta","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
"/pages/reviews","page","Eltee Sydney Customer Reviews","reviews","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","PUBLISHED"
"/pages/search-results-page","page","Search Results","search-results-page","KEEP - pending SEO triage","","Retain, improve or consolidate only after search evidence review","UNPUBLISHED"
