id,path,target
"gid://shopify/UrlRedirect/268559745161","/products/z2lybhmtzm","/"
"gid://shopify/UrlRedirect/268559777929","/products/z2lybhmtag","/"
"gid://shopify/UrlRedirect/268559810697","/products/pick-me-up-cards","/"
"gid://shopify/UrlRedirect/268559843465","/product/fierce-not-fancy-tie-up-sports-top","/"
"gid://shopify/UrlRedirect/268559876233","/products/ponytail-cap-chill","/"
"gid://shopify/UrlRedirect/269023805577","/collections/shop-accessories","/collections/shop-sporty-girl-gifts"
"gid://shopify/UrlRedirect/269053558921","/collections/gift-vouchers","/"
"gid://shopify/UrlRedirect/269053689993","/products/girls-skincare-travel-pack","/"
"gid://shopify/UrlRedirect/269053722761","/privacy-policy","/"
"gid://shopify/UrlRedirect/269053755529","/cms/wp-content/uploads/2018/10/leotard-back-800x1200.jpg","/"
"gid://shopify/UrlRedirect/269053788297","/cms/wp-content/uploads/2019/08/lt_fullswing_callati-2160-1-800x1200.jpg","/"
"gid://shopify/UrlRedirect/269053821065","/cms/wp-content/uploads/2019/02/leotard-side.jpg","/"
"gid://shopify/UrlRedirect/269053886601","/products/active-girls-shorts-powerplum","/"
"gid://shopify/UrlRedirect/269053919369","/pages/3voucherscomp","/"
"gid://shopify/UrlRedirect/269053952137","/pages/3xvoucherscomp","/"
"gid://shopify/UrlRedirect/269053984905","/competition","/"
"gid://shopify/UrlRedirect/269054017673","/compeition","/"
"gid://shopify/UrlRedirect/269054115977","/product/girls-skincare-travel-pack","/"
"gid://shopify/UrlRedirect/269054148745","/products/cgvyaw9klx","/"
"gid://shopify/UrlRedirect/269054181513","/collections/ywxslwdpcm","/"
"gid://shopify/UrlRedirect/269413679241","/products/grace-back-on-the-court-by-nsw-swifts-maddy-proud","/products/maddy-proud-netball-book"
"gid://shopify/UrlRedirect/269593772169","/collections/sporty-girls-books","/collections/sporty-girl-books"
"gid://shopify/UrlRedirect/272119988361","/blogs/tribe-vibes/survey-periods-and-the-impact-on-girls-participation-in-sport","/blogs/tribe-vibes/survey-periods-impact-sport"
"gid://shopify/UrlRedirect/272165601417","/.../products/girls-sport-socks","/products/girls-sport-socks"
"gid://shopify/UrlRedirect/272165666953","/collections/ponytail-caps/products/cg9uexrhaw","/products/ponytail-cap-gold"
"gid://shopify/UrlRedirect/272248045705","/collections/growing-up-stuff","/collections/girls-sports-essentials"
"gid://shopify/UrlRedirect/272589619337","/products/girls-first-period-kit-with-case","/products/girls-first-period-pouch-kit"
"gid://shopify/UrlRedirect/272589947017","/products/her-first-period-kit","/products/girls-first-period-pouch-kit"
"gid://shopify/UrlRedirect/274271043721","/collections/girls-feminine-hygiene","/collections/girls-period-products"
"gid://shopify/UrlRedirect/274504941705","/products/pb-sports-crop-top","/products/pbv2-sports-crop-top"
"gid://shopify/UrlRedirect/274628935817","/collections/performance-black-girls-activewear-set","/collections/pbv2-activewear-set"
"gid://shopify/UrlRedirect/275856818313","/pages/girls-activewear-sets-1","/"
"gid://shopify/UrlRedirect/275856851081","/comments","/"
"gid://shopify/UrlRedirect/275928645769","/collections/girls-sports-essentials","/collections/period-products"
"gid://shopify/UrlRedirect/275957285001","/pages/3-vouchers-comp","/"
"gid://shopify/UrlRedirect/275957317769","/wp-admin","/"
"gid://shopify/UrlRedirect/275957350537","/products/own-the-ropes-crop-top-isosceles-dreams","/"
"gid://shopify/UrlRedirect/275957416073","/products/girls-leggings-blue-chill","/"
"gid://shopify/UrlRedirect/275957448841","/products/csws-tie-up-tank","/"
"gid://shopify/UrlRedirect/275957481609","/products/no-holds-tank-aqua","/"
"gid://shopify/UrlRedirect/275957514377","/products/girls-crop-powerplum","/"
"gid://shopify/UrlRedirect/275957547145","/products/clean-sweep-girls-active-tee-blossom","/"
"gid://shopify/UrlRedirect/275957579913","/products/pp-leggings","/"
"gid://shopify/UrlRedirect/275957612681","/products/girls-sports-crop-top-camo","/"
"gid://shopify/UrlRedirect/275957645449","/products/mackerel-sky-girls-crop","/"
"gid://shopify/UrlRedirect/275957678217","/products/graphite-leggings","/"
"gid://shopify/UrlRedirect/275957710985","/products/girls-performance-black-leggings","/"
"gid://shopify/UrlRedirect/275957743753","/products/mackerel-sky-leggings","/"
"gid://shopify/UrlRedirect/275957776521","/products/active-girls-shorts-chill","/"
"gid://shopify/UrlRedirect/275957809289","/products/graphite-shorts","/"
"gid://shopify/UrlRedirect/275957842057","/products/pp-crop","/"
"gid://shopify/UrlRedirect/275957874825","/products/girls-black-shorts","/products/period-shortie-briefs"
"gid://shopify/UrlRedirect/275957940361","/products/eq-leggings","/"
"gid://shopify/UrlRedirect/275957973129","/products/lava-tie-up-sports-top","/"
"gid://shopify/UrlRedirect/275958005897","/products/girls-fleece-track-pants","/"
"gid://shopify/UrlRedirect/275958038665","/products/blitz-it-shorts-arrow-print","/"
"gid://shopify/UrlRedirect/275958071433","/products/isosceles-dreams-shorts","/"
"gid://shopify/UrlRedirect/275958104201","/products/clean-sweep-tee-aqua","/"
"gid://shopify/UrlRedirect/275958136969","/products/girls-sports-shorts-camo","/"
"gid://shopify/UrlRedirect/275958169737","/products/active-girls-sports-shorts-zanzi","/"
"gid://shopify/UrlRedirect/275958202505","/collections/gift-ideas/products/lava-tribe-girls-activewear-gift-card","/"
"gid://shopify/UrlRedirect/275958235273","/tribe-vibes-blog","/"
"gid://shopify/UrlRedirect/275971473545","/products/mackerel-sky-shorts","/"
"gid://shopify/UrlRedirect/276209467529","/collections/vendors","/"
"gid://shopify/UrlRedirect/276342472841","/collections/camo/camo","/"
"gid://shopify/UrlRedirect/276359086217","/products/c3bvcnrzlx","/"
"gid://shopify/UrlRedirect/276359118985","/products/c2vhbwxlc3","/"
"gid://shopify/UrlRedirect/276359151753","/products/z2lybhmtzn","/"
"gid://shopify/UrlRedirect/276484391049","/pages/eltee-wholesale-partners","/"
"gid://shopify/UrlRedirect/276507132041","/wholesale","/"
"gid://shopify/UrlRedirect/276510343305","/pagess/reviews","/"
"gid://shopify/UrlRedirect/276593934473","/collections/girls-sports-shorts/products/girls-sports-shorts-camo","/"
"gid://shopify/UrlRedirect/276697677961","/ethical-sourcing","/"
"gid://shopify/UrlRedirect/276706295945","/blogs/tribe-vibes","/blogs/the-tee"
"gid://shopify/UrlRedirect/276706328713","/blogs/tribe-vibes/the-gloves-are-on","/blogs/the-tee/the-gloves-are-on"
"gid://shopify/UrlRedirect/276706361481","/blogs/tribe-vibes/research-results-breaking-the-barriers-menstruation-and-sports-participation-among-tween-and-teen-girls","/blogs/the-tee/research-results-breaking-the-barriers-menstruation-and-sports-participation-among-tween-and-teen-girls"
"gid://shopify/UrlRedirect/276706394249","/blogs/tribe-vibes/survey-periods-impact-sport","/blogs/the-tee/survey-periods-impact-sport"
"gid://shopify/UrlRedirect/276706427017","/blogs/tribe-vibes/support-sporty-girls-adolescence","/blogs/the-tee/support-sporty-girls-adolescence"
"gid://shopify/UrlRedirect/276706459785","/blogs/tribe-vibes/school-holiday-activities-adults-enjoy","/blogs/the-tee/school-holiday-activities-adults-enjoy"
"gid://shopify/UrlRedirect/276706492553","/blogs/tribe-vibes/6-simple-skincare-steps-for-sporty-girls","/blogs/the-tee/6-simple-skincare-steps-for-sporty-girls"
"gid://shopify/UrlRedirect/276706525321","/blogs/tribe-vibes/girls-gym-ready","/blogs/the-tee/girls-gym-ready"
"gid://shopify/UrlRedirect/276706558089","/blogs/tribe-vibes/active-life-active-mind-how-sports-and-fitness-help-kids-stay-on-track-at-school","/blogs/the-tee/active-life-active-mind-how-sports-and-fitness-help-kids-stay-on-track-at-school"
"gid://shopify/UrlRedirect/276706590857","/blogs/tribe-vibes/girls-crop-tops-when-how-and-how","/blogs/the-tee/girls-crop-tops-when-how-and-how"
"gid://shopify/UrlRedirect/276706623625","/blogs/tribe-vibes/why-girls-who-play-sport-win-at-wellbeing","/blogs/the-tee/why-girls-who-play-sport-win-at-wellbeing"
"gid://shopify/UrlRedirect/276706689161","/blogs/tribe-vibes/doing-the-best-i-can","/blogs/the-tee/doing-the-best-i-can"
"gid://shopify/UrlRedirect/276706721929","/blogs/tribe-vibes/skin-changes-in-pre-teens","/blogs/the-tee/skin-changes-in-pre-teens"
"gid://shopify/UrlRedirect/276706754697","/blogs/tribe-vibes/six-trailblazing-women-in-australian-sport","/blogs/the-tee/six-trailblazing-women-in-australian-sport"
"gid://shopify/UrlRedirect/276706787465","/blogs/tribe-vibes/lava-tribe-2021-best-fairest-award","/blogs/the-tee/lava-tribe-2021-best-fairest-award"
"gid://shopify/UrlRedirect/276706820233","/blogs/tribe-vibes/there-s-nothing-taboo-about-menstruation-period","/blogs/the-tee/there-s-nothing-taboo-about-menstruation-period"
"gid://shopify/UrlRedirect/276706853001","/blogs/tribe-vibes/mia-freedman-lava-tribe-product-review","/blogs/the-tee/mia-freedman-lava-tribe-product-review"
"gid://shopify/UrlRedirect/276706885769","/blogs/tribe-vibes/8-celebrity-who-rock-their-sporty-style","/blogs/the-tee/8-celebrity-who-rock-their-sporty-style"
"gid://shopify/UrlRedirect/276706918537","/blogs/tribe-vibes/sport-doesnt-like-it","/blogs/the-tee/sport-doesnt-like-it"
"gid://shopify/UrlRedirect/276706951305","/blogs/tribe-vibes/spotlight-on-isla-14-gymnastics-qld","/blogs/the-tee/spotlight-on-isla-14-gymnastics-qld"
"gid://shopify/UrlRedirect/276716880009","/family-movement-sessions","/"
"gid://shopify/UrlRedirect/276720615561","/collections/paisley-girls-activewear-set","/collections/ko-activewear-set"
"gid://shopify/UrlRedirect/276764754057","/instagram.com/eltee.sydney","/"
"gid://shopify/UrlRedirect/276770488457","/account/unsubscribe","/"
"gid://shopify/UrlRedirect/276775075977","/blogs/the-tee/lavatribe.com.au/collections/crops-tops","/"
"gid://shopify/UrlRedirect/276821835913","/products/girls-black-crop-top","/"
"gid://shopify/UrlRedirect/276896383113","/products_preview","/"
"gid://shopify/UrlRedirect/276971913353","/collections/girls-period-swim-1","/collections/girls-performance-swim"
"gid://shopify/UrlRedirect/277035253897","/products/span-data-mce-fragment-1-%f0%9f%92%a5-span-strong-data-mce-fragment-1-special-offer-strong-span-data-mce-fragment-1-%f0%9f%92%a5-span-swimsync-pro-bundle","/"
"gid://shopify/UrlRedirect/277098758281","/products/period-swimwear-one-piece","/"
"gid://shopify/UrlRedirect/277100200073","/collections/end-season","/"
"gid://shopify/UrlRedirect/277113700489","/blogs/the-tee/cmvzzwfyy2","/"
"gid://shopify/UrlRedirect/277129461897","/collections/period-products","/"
"gid://shopify/UrlRedirect/277160231049","/collections/promotions","/"
"gid://shopify/UrlRedirect/277199814793","/products/ss-pro-bundle","/"
"gid://shopify/UrlRedirect/277205057673","/2019/10","/"
"gid://shopify/UrlRedirect/277206171785","/six-trailblazing-women-in-australian-sport","/"
"gid://shopify/UrlRedirect/277206204553","/collections/tops/products/lava-tie-up-sports-top","/"
"gid://shopify/UrlRedirect/277206466697","/product/blitz-it-leggings-arrow-print","/"
"gid://shopify/UrlRedirect/277221638281","/2019/12","/"
"gid://shopify/UrlRedirect/277264629897","/author/sarah-greenaway","/"
"gid://shopify/UrlRedirect/277264695433","/products/celebration-of-sport-photo-shoot-package","/"
"gid://shopify/UrlRedirect/277333475465","/2020/04","/"
"gid://shopify/UrlRedirect/277333508233","/collections/collections-patchy-patchy","/"
"gid://shopify/UrlRedirect/277339865225","/2019/08","/"
"gid://shopify/UrlRedirect/277345108105","/product/pp-leggings","/"
"gid://shopify/UrlRedirect/277347401865","/2019/11","/"
"gid://shopify/UrlRedirect/277349302409","/product/clean-sweep-tee","/"
"gid://shopify/UrlRedirect/277396553865","/products/snagless-girls-hair-ties","/"
"gid://shopify/UrlRedirect/277397799049","/4-ways-workout-with-your-daughter","/"
"gid://shopify/UrlRedirect/277423194249","/products/c3dpbxn5bm","/"
"gid://shopify/UrlRedirect/277423227017","/products/y3jvcc10b3","/"
"gid://shopify/UrlRedirect/277478506633","/products/b-fresh-deodorant","/"
"gid://shopify/UrlRedirect/277483978889","/collections/shop_everything","/"
"gid://shopify/UrlRedirect/277484011657","/collections/shop-everything","/"
"gid://shopify/UrlRedirect/277910552713","/h","/"
"gid://shopify/UrlRedirect/277920678025","/products/active-girls-leggings-powerplum","/"
"gid://shopify/UrlRedirect/277927035017","/product/blitz-it-shorts-graphite","/"
"gid://shopify/UrlRedirect/278643900553","/products/the-amazing-sam-kerr-illustrated-fiction","/"
"gid://shopify/UrlRedirect/281654755465","/products/underarm-sweat-absorber-pads-40-pack","/"
"gid://shopify/UrlRedirect/281665208457","/policies/instagram.com/eltee.sydney","/"
"gid://shopify/UrlRedirect/281676218505","/products/glam-body-lip-balm","/"
"gid://shopify/UrlRedirect/281720062089","/products/girls-sport-socks","/"
"gid://shopify/UrlRedirect/281720094857","/products/crop-top-maverick","/"
"gid://shopify/UrlRedirect/281720750217","/products/girls-hoodie-jumper","/"
"gid://shopify/UrlRedirect/281721831561","/products/joie-active-girls-leggings","/"
"gid://shopify/UrlRedirect/281722093705","/products/girls-sports-shorts-paisley","/"
"gid://shopify/UrlRedirect/281722749065","/products/period-shortie-briefs","/"
"gid://shopify/UrlRedirect/281724190857","/products/girls-sports-crop-top-paisley","/"
"gid://shopify/UrlRedirect/281724780681","/products/sports-shorts-maverick","/"
"gid://shopify/UrlRedirect/281726320777","/products/girls-free-rein-sports-crop-heyday","/"
"gid://shopify/UrlRedirect/281726582921","/products/active-girls-sports-shorts-cherry-leopard","/"
"gid://shopify/UrlRedirect/281727434889","/collections/ko-activewear-set","/"
"gid://shopify/UrlRedirect/281728778377","/products/first-period-briefs-retro","/"
"gid://shopify/UrlRedirect/281729499273","/collections/girls-performance-swim","/"
"gid://shopify/UrlRedirect/281730744457","/products/first-period-briefs-black","/"
"gid://shopify/UrlRedirect/281731039369","/collections/girls-sports-leggings","/"
"gid://shopify/UrlRedirect/281731465353","/products/girls-sports-side-pocket-shorts-heyday","/"
"gid://shopify/UrlRedirect/281731661961","/collections/girls-sports-shorts","/"
"gid://shopify/UrlRedirect/281732579465","/products/the-girls-guide-to-growing-up","/"
"gid://shopify/UrlRedirect/281733005449","/collections/fan-faves","/"
"gid://shopify/UrlRedirect/281767510153","/products/sports-tank-top-khaki","/"
"gid://shopify/UrlRedirect/281768198281","/products/girls-buff","/"
"gid://shopify/UrlRedirect/282155745417","/blogs","/"
"gid://shopify/UrlRedirect/282214039689","/pages/our-credo","/pages/mission"
"gid://shopify/UrlRedirect/282215317641","/blogs/the-tee/first-period-alert-3-surefire-signs-that-its-on-its-way","/blogs/the-tee/4-period-signs"
"gid://shopify/UrlRedirect/282353467529","/products/streamline-active-tank-top-black","/products/athletic-tank"
"gid://shopify/UrlRedirect/282353500297","/collections/pbv2-activewear-set","/collections/girls-sportswear"
"gid://shopify/UrlRedirect/284474278025","/products/swimsync-pro-period","/products/girls-period-swimwear"
"gid://shopify/UrlRedirect/285243211913","/products/girls-period-undies-neutral","/products/teen-period-underwear-neutral"
"gid://shopify/UrlRedirect/285296820361","/products/period-swimwear-bottoms","/products/girls-period-swim-bottoms"
"gid://shopify/UrlRedirect/285805936777","/products/teen-period-underwear-neutral","/products/period-undies-for-girls"
"gid://shopify/UrlRedirect/286041669769","/products/period-undies-for-girls","/products/period-undies-for-girls-neutral"
"gid://shopify/UrlRedirect/286470865033","/collections/first-period-kits","/collections/kits-first-period"
"gid://shopify/UrlRedirect/286472044681","/products/first-period-survival-kit","/products/soothing-first-period-kit"
"gid://shopify/UrlRedirect/286473126025","/products/girls-first-period-pouch-kit","/products/first-period-kit"
"gid://shopify/UrlRedirect/288978174089","/blogs/the-tee/there-s-nothing-taboo-about-menstruation-period","/blogs/the-tee/mastering-her-cycle"
"gid://shopify/UrlRedirect/289500561545","/blogs/the-tee/research-results-breaking-the-barriers-menstruation-and-sports-participation-among-tween-and-teen-girls","/blogs/the-tee/why-girls-quit-sport"
"gid://shopify/UrlRedirect/290130526345","/blogs/the-tee/facebook.com/lavatribe","/"
"gid://shopify/UrlRedirect/290130657417","/blogs/the-tee/facebook.com.au/lavatribe","/"
"gid://shopify/UrlRedirect/290130690185","/blogs/the-tee/instagram.com/lava_tribe","/"
"gid://shopify/UrlRedirect/290130722953","/blogs/the-tee/lavatribe.com.au","/"
